dtime,speed
20180801,284443225.5
20180802,552113362.2
20180803,887354171.1
20180804,267824712
20180805,846534980.8
20180806,3212430107
20180807,1095203551
20180808,664616821.2
20180809,646250639.6
20180810,987465471.8
20180811,181179192.6
20180812,121339876.3
20180813,2765924562
20180814,751626606.1
20180815,1279429786
20180816,1193910005
20180817,1108966242
20180818,107183382.3
20180819,112965660
20180820,1737863164
20180821,2343198264
20180822,1251856689
20180823,946111611.8
20180824,1109465738
20180825,243775650.4
20180826,147778523.5
20180827,1878548379
20180828,832379408.6
20180829,541899777.4
20180830,712786023.2
20180831,301866412.9
